Registros de Boletins de Ocorrências por munícipio e mês - 2009.;;;;;;;;
Fonte: SinespJC - Módulo Polícias Civis do Brasil. Extração em 25/01/2018.;;;;;;;;
Nota 1: As informações apresentadas estão de acordo com o nível de alimentação e consolidação por parte dos Estados, na base de dados do SinespJC, módulo Polícia Civil, na data da extração.;;;;;;;;
"Nota 2: Por motivo de compactação do arquivo, os campos ""sem informação"" ou preenchidos com ""0 (zero)"" foram desconsiderados.";;;;;;;;
Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;04;04/2009;110
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;05;05/2009;114
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;06;06/2009;69
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;07;07/2009;79
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;08;08/2009;80
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;09;09/2009;88
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;10;10/2009;89
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;11;11/2009;101
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Furto de veículo;12;12/2009;105
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;01;01/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;02;02/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;03;03/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;04;04/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;05;05/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;06;06/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;07;07/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;09;09/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;10;10/2009;5
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;11;11/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Homicídio doloso;12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;01;01/2009;42
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;02;02/2009;46
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;03;03/2009;59
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;04;04/2009;57
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;05;05/2009;60
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;06;06/2009;42
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;07;07/2009;55
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;08;08/2009;66
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;09;09/2009;78
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;10;10/2009;68
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;11;11/2009;77
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo de veículo;12;12/2009;75
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);01;01/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);02;02/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);03;03/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);04;04/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);05;05/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);06;06/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);07;07/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);10;10/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);11;11/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010803;Taguatinga;Roubo seguido de morte (latrocínio);12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;01;01/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;02;02/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;03;03/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;04;04/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;05;05/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;06;06/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;07;07/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;08;08/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;10;10/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;11;11/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Estupro;12;12/2009;2
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;01;01/2009;12
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;02;02/2009;16
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;03;03/2009;11
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;04;04/2009;14
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;05;05/2009;28
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;06;06/2009;17
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;07;07/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;08;08/2009;11
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;09;09/2009;8
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;10;10/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;11;11/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Furto de veículo;12;12/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;01;01/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;02;02/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;03;03/2009;8
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;04;04/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;05;05/2009;3
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;06;06/2009;4
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;07;07/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;08;08/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;09;09/2009;11
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;10;10/2009;5
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;11;11/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Homicídio doloso;12;12/2009;7
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;02;02/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;03;03/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;04;04/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;05;05/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;06;06/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;07;07/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;08;08/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;09;09/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;10;10/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;11;11/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Lesão corporal seguida de morte;12;12/2009;1
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;01;01/2009;6
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;02;02/2009;8
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;03;03/2009;10
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;04;04/2009;12
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;05;05/2009;9
CENTRO-OESTE;DF;Distrito Federal;530010806;Planaltina;Roubo de veículo;06;06/2009;10
